URA014X|25044|5.29|1
UGA007|25047|5.29|1
DSKO80|25962|5.49|1
KNG135|9727|5.99|1
MS508|8906|4.99|1
MA1101|4950|4.99|1
JB528|21014|5.49|2
RA3009|22118|4.99|1
SHL1056|25076|5.79|1
SYD001|20870|4.99|1
12X33-12|4315|5.79|1
SRM7S10|21752|5.99|1
ED5583|22943|5.49|1
LUX14501|27666|4.99|1
RA3033|27239|4.99|1
FPA001|27696|5.79|1
RA3033|27239|5.29|1
VR059|26983|5.99|1
SF010|12331|5.79|1
MLPS7782|22403|4.90|1
Q2001|27179|4.90|1
GHP002|23560|5.49|1
RA3037|27757|4.99|1
JJF002|28221|5.49|1
RA3038|28076|5.29|1
TWL09|28327|4.99|1
RA3002|19320|4.99|1
UGA003|23238|4.99|1
UGA013|28462|5.29|1
TRP007|27921|5.79|1
RONG023|27664|4.99|1
NBD20148|24585|5.49|1
NBD201112|28067|5.49|1
66970|21063|5.49|1
96537|19597|5.49|1
LDM002|11560|4.99|1
SK011|26402|5.79|1
EA33177|28928|5.49|1
LDR006|28912|5.29|1
EMM001|28241|5.49|1
URA020|28147|4.99|1
DT1650|28776|5.79|1
BL009|23123|5.49|1
URA013|24985|5.29|1
HR30|29252|5.29|1
QK019|28980|3.99|1
WIP6757|23312|5.79|1
PRL503|23332|5.79|1
SDDC008|14489|5.49|1
F047|29165|6.99|2
GAY001|28432|5.99|1
HM003|23040|5.49|1
URA018|27438|4.99|1
LDR006|28912|4.99|1
EA33177|28928|5.49|1
GAY001|28432|5.99|2
SYD001|20870|4.99|1
SZ12|24441|6.99|1
URA019|29319|4.99|1
QAL249|29062|5.99|1
BY001|16287|5.49|1
CM2012|22117|4.99|1
FISH04|29385|5.79|1
URA019|29319|5.29|1
UGA007|25047|5.29|1
FISH04|29385|5.49|1
GAY003|29432|5.99|1
OUT0006|20027|4.99|1
TR006|25352|5.29|1
AMEL03|28764|5.79|1
URA019|29319|4.99|1
DH005|21585|5.49|1
CIV001|29459|5.79|1
LUX14502|29452|4.99|1
MO7000|4949|4.99|1
RS950|7005|4.99|1
MS508|8906|4.99|1
BL344|2636|4.99|1
EA33177|28928|5.49|1
740|22279|4.99|1
RK755|10849|4.99|1
MX31|9771|4.99|1
RP014|7736|4.99|1
RS245|20471|4.99|1
DB200|4330|4.99|1
SS031|27510|6.49|1
URA021|29427|4.99|1
OL002|29599|5.79|1
stilove4music012|26774|5.99|1
DSC132|23126|5.49|1
RA3033|27239|4.99|1
WWW003|22872|5.49|1
60029902|21955|5.49|1
GM29|29428|5.79|1
FISH04|29385|5.79|1
HP076|29721|5.49|1
HP082|29723|5.49|2
HP042|29715|5.49|1
DOR001|24489|5.99|1
SP12022|21065|5.49|1
MKTL001|29601|5.79|1
PSR014|29544|5.49|1
UGA015|29786|5.29|1
MA1242|6996|4.99|1
EDIT06|26833|5.49|1
SLLP01|12324|9.99|1
HP067|29719|5.49|2
UGA015|29786|5.29|1
XSS167332|27967|5.49|1
4311040|20506|5.49|1
OBJ009|27345|5.79|1
HEC010|29784|5.79|1
KSS1244|24077|13.99|1
EA33184|29387|5.49|1
SHL1043|14873|5.79|1
SHL1057|27074|5.79|1
884009|25007|5.49|1
JIH1005|19027|5.99|1
DWBS8891|25963|5.79|1
PRL503|23332|5.79|1
4311138|24124|5.49|1
12X3312|27487|5.79|1
SOIL3300/2200|29868|6.99|1
AMSP8218|23852|5.49|1
CCD20016|24398|5.49|1
769|20221|5.49|1
20178|24977|5.49|1
KSS1236|23441|5.99|1
RA3036|28433|4.99|1
OBJ007|25884|5.79|1
898277|20480|5.49|1
SPM015|26267|5.79|1
BWAY414|25633|4.90|1
SDDC019|14499|4.90|1
ILU004|10988|4.99|1
SYL012|29600|5.49|1
DK4609|24697|5.49|1
SDDC024|15823|5.49|1
FOR008|17448|5.49|1
RM4003|5627|4.99|1
SPEC1291|24175|5.49|1
DWBS8874|26663|5.49|1
UQ016PT2|29842|5.99|1
2310513|29193|5.49|1
EISH01|23326|4.99|1
PRL605|22652|5.49|1
898278|20479|5.49|1
XSS164891|24066|5.49|1
DE2013|26180|6.99|1
WM50110|14324|9.99|1
PSR014|29544|5.49|1
PP555-12|21396|5.99|1
3D001|17217|5.49|1
FOR0010/SO01|18651|5.49|1
AS11435|24768|5.49|1
UH002|23200|5.49|1
ALLAH13|29881|5.99|1
VR056/57|27489|4.79|1
KNG277|25536|5.99|1
89927|20030|5.49|1
NA032|27848|9.99|1
SHLT01|25118|5.29|1
LARRY02|14950|5.49|1
PROA996|23608|5.49|1
SPAT017|30037|5.79|1
DT1648|23514|5.49|1
GM30|29870|5.79|1
DK4600|25960|5.49|1
GC08|15343|5.50|1
FLAP002|29843|5.79|1
DT1650|28776|5.79|1
SIS010|29974|5.99|1
VS502|7053|4.99|1
MDS4013|20776|5.49|1
SNM01|9548|5.49|1
HR30|29252|5.29|1
HR25|28714|5.29|1
RA3022|25057|4.99|1
RA3004|19663|4.99|1
DJ905|2235|5.49|1
RA3009|22118|4.99|1
BIG001|23736|5.49|1
SHL1052|23601|4.99|1
SPM015|26267|5.79|1
SNM01|9548|5.49|1
PLE65308|29921|5.79|1
19308|29949|8.99|1
TP49|6040|4.99|1
PR31|5798|5.49|1
SPAT017|30037|5.79|1
SPAT013|28148|5.79|1
SPAT007|25663|5.79|1
SPAT005|24592|5.79|1
SNM01|9548|5.49|1
NBD20113|26253|5.49|1
stilove4music019|29918|5.99|1
RA3039|29787|5.29|1
CIV001|29459|5.79|1
UGA005|23603|4.99|1
RA3034|27667|4.99|1
SNM01|9548|5.49|1
UGA015|29786|5.29|1
RA3024|25112|4.99|2
BLZ004|25627|6.29|1
CL455|16530|5.49|1
WES5002|379|7.99|1
LDR006|28912|4.79|1
UGA004|23357|5.29|1
WHO001|13181|5.49|1
UF4|9352|4.99|1
VMR002|14534|5.99|1
2Z83682|29573|5.49|1
FLAP001|29532|5.79|1
OVM196|30217|5.99|1
OBJ002|23826|5.79|1
WWW002|22635|5.49|1
RA3033|27239|4.99|1
MLPS7804|17286|5.49|1
2Z83682|29573|5.49|1
DGC1221934|28055|5.49|1
DISCO3006|21682|5.49|1
T330076|27039|5.49|1
AMENTI031|24888|5.49|1
JD777|5624|5.49|1
DK4619|25253|5.49|1
KSS1284|29235|6.29|1
LEG003|16684|3.99|1
AMENTI030|24953|5.49|1
AMENTI023|23149|5.49|1
SFD0015|14853|4.99|1
OBJ003|24367|5.79|1
CL455|16530|5.49|1
AMENTI038|29942|5.79|1
SIS010|29974|5.99|1
AES001|24901|5.79|1
MJB008|7362|4.99|1
BCR071|28046|5.49|1
KD1209|23815|5.49|1
HP025|8819|5.49|1
DW060|15361|5.49|1
ST236|7115|4.99|1
VL051|6927|4.99|1
4557GG|21958|5.49|1
NM013|9903|5.49|1
